lc,quantity,serving_size,packaging_tags,brands_tags,categories_tags,labels_tags,countries_tags,stores_tags,allergens_tags,traces_tags,nutrition_data_per,nutrition_data_prepared_per,energy-kj_value,energy-kcal_value,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,fiber_value,fiber_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,vitamin-d_value,vitamin-d_unit,calcium_value,calcium_unit,iron_value,iron_unit,packaging_1_shape,packaging_1_material,packaging_2_shape,packaging_2_material,link,off:food_groups,off:food_groups_tags,off:nova_groups,off:nova_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_grade,off:ecoscore_score,off:ecoscore_data.missing_key_data,off:ecoscore_data.agribalyse.code,off:ecoscore_data.adjustments.origins_of_ingredients.value,off:ecoscore_data.adjustments.packaging.value,off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials,off:ecoscore_data.adjustments.production_system.value,off:ecoscore_data.adjustments.threatened_species.value,data_sources,product_name,ingredients
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - El CoCo",Fitness original,
es,,,,nestle,,en:no-colorings,en:spain,,,,100g,100g,,97.0,3.1,g,2.1,g,10.6,g,10.1,g,,,6.7,g,0.08,g,0.032,g,97.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Yoco petit fresa,
es,,,,nestle,,,en:spain,,,,100g,100g,,142.0,8.4,g,5.9,g,14.0,g,13.0,g,,,2.6,g,0.11,g,0.044,g,142.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Yaos coco,
es,,,,nestle,,,en:spain,,,,100g,100g,,39.0,1.5,g,1.1,g,3.3,g,3.3,g,,,3.0,g,0.1,g,0.04,g,39.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Kéfir natural,
es,,,,nestle,,en:no-colorings,en:spain,,,,100g,100g,,56.0,1.1,g,0.8,g,8.7,g,8.6,g,,,2.7,g,0.12,g,0.048,g,56.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Yoco batido multifrutas,
es,,,,nestle,,en:no-palm-oil,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nan optipro 4,
es,,,,nestle,,,en:spain,,,,100g,100g,,106.0,8.4,g,5.6,g,4.4,g,4.4,g,,,3.2,g,0.14,g,0.056,g,106.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Yaos griego natural,
es,,,,nestle,,,en:spain,,,,100g,100g,,383.0,4.0,g,0.8,g,71.8,g,18.0,g,,,10.0,g,0.1,g,0.04,g,383.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Multicereales pijama,
es,,,,nestle,,,en:spain,,,,100g,100g,,356.0,0.0,g,0.0,g,89.0,g,0.0,g,,,0.0,g,0.5,g,0.2,g,356.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Resource espesante,
es,,,,nestle,,,en:spain,,,,100g,100g,,104.0,3.7,g,1.2,g,12.0,g,2.2,g,,,5.0,g,0.35,g,0.14,g,104.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Meritene puré de pavo con arroz y zanahoria,
es,,,,nestle,,,en:spain,,,,100g,100g,,372.0,2.2,g,1.3,g,80.0,g,57.1,g,,,4.6,g,0.02,g,0.008,g,372.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Cacao a la taza,
es,,,,nestle,,,en:spain,,,,100g,100g,,200.0,7.0,g,0.9,g,24.3,g,7.0,g,,,10.0,g,0.24,g,0.096,g,200.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Renutryl,
es,,,,nestle,en:dietary-supplements,,en:spain,,,,100g,100g,,385.0,8.3,g,2.9,g,41.7,g,34.0,g,,,32.4,g,0.9,g,0.36,g,385.0,kcal,,,,,,,,,,,,,,,unknown,d,16.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Batido,
es,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - El CoCo",,
es,4 x 100 ,,,nestle,,en:no-added-sugar,en:spain,,,,100g,100g,,66.0,0.4,g,0.1,g,14.2,g,13.2,g,,,0.5,g,0.005,g,0.002,g,66.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Meritene puré de frutas,
es,4 x 115 ,,,nestle,,,en:spain,,,,100g,100g,,125.0,4.0,g,2.7,g,19.0,g,17.0,g,,,3.3,g,0.16,g,0.064,g,125.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",La Lechera natillas sabor galleta,
es,,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,en:spain,,,,100g,100g,,70.0,1.1,g,0.9,g,14.2,g,13.2,g,,,2.8,g,0.1,g,0.04,g,70.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,e,19.0,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo","Frutissimo cereza, mora, plátano y cereales",
es,,,,nestle,,en:no-gluten,en:spain,,,,100g,100g,,391.0,3.0,g,0.5,g,83.0,g,4.0,g,,,7.0,g,0.0888,g,0.03552,g,391.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nestum cereales sin gluten,
es,,,,nestle,"en:baby-foods,en:baby-milks",en:no-palm-oil,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,not-applicable,,b,74.0,1.0,19013.0,-5,-15,1,0,,"App - yuka, Apps",Nan supreme 1,
es,,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",en:no-colorings,en:spain,,,,100g,100g,,56.0,1.1,g,0.7,g,8.9,g,8.7,g,,,2.6,g,0.12,g,0.048,g,56.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,e,14.0,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Yoco batido fresa,
es,,,,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:coffees",,en:spain,,,,100g,100g,,232.0,11.2,g,4.9,g,0.2,g,0.2,g,,,12.3,g,0.01,g,0.004,g,232.0,kcal,,,,,,,,,,,,,,,unknown,b,1.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Bonka fuerte mezcla,
es,,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:assorted-chocolate-candies",,en:spain,,,,100g,100g,,573.0,40.6,g,20.9,g,39.5,g,32.8,g,8.2,g,8.2,g,0.07,g,0.028,g,573.0,kcal,,,,,,,,,,,,en:sweets,"en:sugary-snacks,en:sweets",,unknown,e,19.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Dark sublime,
es,,,,nestle,,"en:organic,en:eu-organic,en:pt-bio-09",en:spain,,,,100g,100g,,359.0,0.2,g,0.0,g,78.6,g,3.1,g,,,6.9,g,0.18,g,0.072,g,359.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,15,,"App - yuka, Apps",Eko,
es,,,,nestle,,"en:organic,en:eu-organic,en:pt-bio-09",en:spain,,,,100g,100g,,359.0,0.2,g,0.0,g,78.6,g,3.1,g,,,6.9,g,0.18,g,0.072,g,359.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,15,,"App - elcoco, Apps, App - yuka, App - El CoCo",Eko ecologico,
es,,,,nestle,"en:dairies,en:desserts,en:dairy-desserts",,en:spain,,en:milk,"en:eggs,en:gluten,en:nuts,en:sesame-seeds,en:soybeans",100g,100g,,150.0,7.6,g,5.1,g,18.1,g,15.9,g,0.2,g,2.2,g,0.16,g,0.064,g,150.0,kcal,,,,,,,,,,,,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",4.0,en:4-ultra-processed-food-and-drink-products,c,8.0,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Panacotta con fresa,"Leche pasteurizada desnatada (47,5%), nata, coulis de fresa (16%) [agua, fresa (5,1%), azúcar, almidón modificado de maiz, espesantes (pectinas, goma xantana), aroma, concentrado de sales minerales lácteas, conservador (sorbato potásico), colorante (carmin)], azúcar, almidón de maíz, leche desnatada en polvo, aroma, espesantes (carragenanos, pectiñas)."
es,,,,nestle,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",,en:spain,,,,100g,100g,,154.0,8.8,g,5.8,g,16.0,g,16.0,g,,,2.7,g,0.11,g,0.044,g,154.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,c,8.0,b,67.0,1.0,19593.0,-5,-15,1,0,,"App - yuka, Apps",Yaos stracciatella,
es,,,,nestle,"en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks",en:no-gluten,en:spain,,,,100g,100g,,53.0,0.9,g,0.5,g,7.4,g,7.2,g,,,3.4,g,0.1,g,0.04,g,53.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,e,13.0,d,29.0,1.0,19122.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Nesquik all natural batido de chocolate,
es,180 ml,,,nestle,"en:beverages,en:dairies,en:dairy-drinks,en:flavoured-milks,en:chocolate-milks",,en:spain,,,,100g,100g,,53.0,0.9,g,0.5,g,7.4,g,7.2,g,,,3.4,g,0.1,g,0.04,g,53.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,e,13.0,d,29.0,1.0,19122.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Nesquik all natural batido de chocolate,
es,,,,nestle,"en:beverages,en:cocoa-and-its-products,en:cocoa-and-chocolate-powders,en:instant-beverages,en:chocolate-powders",en:no-gluten,en:spain,,,,100g,100g,,386.0,3.8,g,1.6,g,79.2,g,75.7,g,,,5.1,g,0.4,g,0.16,g,386.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,d,34.0,1.0,18104.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Nesquik,
pt,480 ,,,nestle,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",,en:spain,,,,100g,100g,,99.0,7.0,g,4.6999998092651,g,4.9000000953674,g,4.8000001907349,g,,,4.0,g,0.15000000596046,g,0.060000002384184,g,99.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,c,4.0,b,67.0,1.0,19593.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo, App - Open Food Facts",YAOS,
en,,,,nestle,,,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,,nestle veggie base coco frutilla,"INGREDIENTES: Agua, preparado de fruta (frutila (5,1%). (trozOS y pure), agua,
azicar, agente de releno (polidextrosa), espesantes almidon modificado de maiz
pectina), saborizantes ideniticos a natural, colorantes naturales (antocianinas y
annato, regulador de acidez (acido citrico) y preservante (sorbato de polasio).
crema de coco (8,5%) (CO00, agua), azicar, espesantes (almidon modificado de
maiz pectina, agai), fuente de calcio (fostato dicalcico), saborizante identico a
natural, preservnte (sorbato de polasio), cutivo no lacteo y edulcorante
(ESTEVIA 3,8mg/100g"
es,,,,nestle,,,en:spain,,,,100g,100g,,536.0,30.9,g,18.5,g,54.3,g,52.9,g,,,9.4,g,0.45,g,0.18,g,536.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Nestle kit kat ice bear,
es,,,,"la-lechera,nestle","en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:sorbets,en:lemon-sorbets",en:no-lactose,en:spain,,,,100g,100g,,110.0,0.2,g,0.0,g,25.9,g,18.6,g,,,0.2,g,0.04,g,0.016,g,110.0,kcal,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,c,5.0,b,67.0,1.0,39530.0,-5,-15,1,0,,"App - yuka, Apps",La Lechera sorbete de limon,
es,,,,nestle,"en:baby-foods,en:cereals-for-babies",en:no-palm-oil,en:spain,,,,100g,100g,,397.0,4.5,g,0.2,g,77.5,g,23.0,g,,,9.0,g,0.1,g,0.04,g,397.0,kcal,,,,,,,,,,,,,,,unknown,not-applicable,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Papillas 8 cereales con miel,
en,,,,nestle,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:coffees,en:decaffeinated-coffees",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Bonka descafeinado,
es,,,,nestle,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:plain-fermented-dairy-desserts,en:plain-yogurts",,en:spain,,,,100g,100g,,74.0,1.9,g,1.3,g,11.4,g,11.4,g,,,3.6,g,0.16,g,0.064,g,74.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,b,1.0,b,67.0,1.0,19593.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Yogur natural azucarado,
es,,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates",,en:spain,,,,100g,100g,,560.0,36.0,g,22.0,g,51.0,g,40.0,g,,,8.0,g,9.0,g,3.6,g,560.0,kcal,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",,unknown,e,34.0,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps",Savoy,
es,200 ,,,nestle,"en:desserts,en:puddings,en:rice-puddings","en:organic,en:eu-organic,en:fr-bio-01",en:spain,,"en:eggs,en:milk",en:gluten,100g,100g,,143.0,5.3,g,3.4,g,20.3,g,11.6,g,0.2,g,3.4,g,0.3,g,0.12,g,143.0,kcal,,,,,,,,,,,,en:dairy-desserts,"en:milk-and-dairy-products,en:dairy-desserts",3.0,en:3-processed-foods,c,5.0,b,73.0,1.0,39212.0,-5,-15,1,15,,"App - elcoco, Apps, App - yuka, App - El CoCo",La Lechera arroz con leche ecológico,"Leche entera* (72,9%), arroz* (10,4 % ), azúcar , nata*, huevo*, almidón de arroz*, sal. Puede contener gluten. *Procedentes de agricultura ecológica."
fr,,,,nestle,"en:baby-foods,en:cereals-for-babies",,"en:portugal,en:spain,en:switzerland",,,,100g,100g,,415.0,9.0,g,4.0,g,65.0,g,19.0,g,,,17.0,g,0.35,g,0.14,g,415.0,kcal,,,,,,,,,,,,,,,unknown,not-applicable,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Cerelac 40% de sucres en moins,
es,,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates",en:no-gluten,en:spain,,,,100g,100g,,542.0,31.1,g,17.9,g,58.4,g,57.5,g,,,6.3,g,0.16,g,0.064,g,542.0,kcal,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",,unknown,e,26.0,e,18.0,1.0,31004.0,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Chocolate con leche extrafino,
fr,,,,nestle,"en:baby-foods,en:snacks-and-desserts-for-babies",,"en:france,en:spain",,,,100g,100g,,67.0,1.0,g,0.5,g,12.0,g,9.1,g,,,1.9,g,0.058,g,0.0232,g,67.0,kcal,,,,,,,,,,,,,,,unknown,not-applicable,,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo",Postre lácteo con manzana y pera sin gluten bolsita desde meses,
en,,,,nestle,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:plain-fermented-dairy-desserts,en:plain-yogurts",,en:spain,,,,100g,100g,,74.0,3.5,g,2.3,g,6.7,g,6.7,g,,,3.9,g,0.16,g,0.064,g,74.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,b,1.0,b,67.0,1.0,19593.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Yogur natural,
es,,,,nestle,"en:beverages,en:dairies,en:dried-products,en:milks,en:dried-products-to-be-rehydrated,en:dehydrated-beverages,en:milk-powders",en:no-gluten,en:spain,,,,100g,100g,,370.0,1.0,g,0.6,g,54.0,g,54.0,g,,,36.3,g,1.3,g,0.52,g,370.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,unknown,,e,-20.0,1.0,19054.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Leche desnatada polvo rica calcio,
es,240,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates",,en:spain,,,"en:eggs,en:milk,es:avellana-soja-cacahuete",100g,100g,,519.0,28.8,g,17.4,g,57.9,g,54.8,g,,,6.3,g,0.2,g,0.08,g,519.0,kcal,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",,unknown,e,26.0,e,18.0,1.0,31004.0,-5,-15,1,0,,"App - yuka, Apps",Explosión strawberry cheesecake,
es,,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:bars,en:chocolate-candies,en:bars-covered-with-chocolate",,en:spain,,,,100g,100g,,521.0,27.6,g,15.5,g,58.8,g,46.6,g,,,8.5,g,0.25,g,0.1,g,521.0,kcal,,,,,,,,,,,,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",,unknown,e,27.0,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",KIT KAT FUN FUN FUN,
es,,,,nestle,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-cones",,en:spain,,,,100g,100g,,319.0,14.7,g,10.4,g,41.6,g,28.7,g,,,3.7,g,0.14,g,0.056,g,319.0,kcal,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,e,19.0,b,67.0,1.0,39509.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Extreme mini conos de helado de avellana y chocolate,
es,9 x 20 ,,,nestle,"en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:milk-chocolates","en:no-gluten,en:no-artificial-flavors,en:no-flavors",en:spain,,,,100g,100g,,542.0,31.1,g,17.9,g,58.4,g,57.5,g,,,6.3,g,0.16,g,0.064,g,542.0,kcal,,,,,,,,,,,,en:chocolate-products,"en:sugary-snacks,en:chocolate-products",,unknown,e,26.0,e,18.0,1.0,31004.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo",Chocomeriendas chocolatinas de chocolate con leche sin gluten,
es,,,,nestle,"en:dairies,en:evaporated-milks",,en:spain,,,,100g,100g,,153.0,10.0,g,6.2,g,9.8,g,9.8,g,,,5.9,g,0.2,g,0.08,g,153.0,kcal,,,,,,,,,,,,,,,unknown,c,6.0,unknown,,1.0,,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Leche evaporada individuales,
es,350 ,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,en:spain,,,,100g,100g,,41.0,0.1,g,0.1,g,6.2,g,4.6,g,,,3.7,g,0.13,g,0.052,g,41.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,d,8.0,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Sveltesse Light Fresa,
es,,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,en:spain,,,,100g,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,unknown,,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Yoggi,
es,,,,nestle,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-bars,en:chocolate-ice-cream-bars",,en:spain,,,,100g,100g,,104.0,5.2,g,3.1,g,12.0,g,10.4,g,,,1.6,g,0.08,g,0.032,g,104.0,kcal,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,c,6.0,b,67.0,1.0,39503.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Mikolapiz pirulo chocolate,
es,,,,nestle,"en:baby-foods,en:cereals-for-babies",,en:spain,,,,100g,100g,,391.0,4.0,g,2.3,g,75.1,g,24.6,g,,,10.5,g,0.15,g,0.06,g,391.0,kcal,,,,,,,,,,,,,,,unknown,not-applicable,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",8 cereales con galleta 6 meses,
es,,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,en:spain,,,,100g,100g,,78.0,1.1,g,0.7,g,14.0,g,13.1,g,,,2.7,g,0.11,g,0.044,g,78.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,e,19.0,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - elcoco, Apps, App - yuka, App - El CoCo",Frutissimo,
fr,,,,nestle,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-bars",,"en:france,en:spain",,,,100g,100g,,76.0,1.8,g,1.5,g,14.1,g,9.6,g,,,0.7,g,0.06,g,0.024,g,76.0,kcal,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,c,3.0,b,67.0,1.0,39509.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo",PIRULO,
es,,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,en:spain,,,,100g,100g,,7.0,2.0,g,1.1,g,12.3,g,12.1,g,,,2.7,g,0.1,g,0.04,g,7.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,e,11.0,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Frutos Rojos,
fr,,,,nestle,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",en:no-gluten,"en:france,en:spain",,,,100g,100g,,251.0,14.5,g,9.5,g,27.5,g,23.7,g,,,2.2,g,0.1,g,0.04,g,251.0,kcal,,,,,,,,,,,,en:ice-cream,"en:milk-and-dairy-products,en:ice-cream",,unknown,d,17.0,b,67.0,1.0,39509.0,-5,-15,1,0,,"App - yuka, Apps, App - El CoCo",Princesa nata,
en,,,,nestle,"en:dairies,en:condensed-milks",,"en:france,en:spain",,,,100g,100g,,281.0,0.2,g,0.1,g,60.8,g,60.8,g,,,8.9,g,0.24,g,0.096,g,281.0,kcal,,,,,,,,,,,,,,,unknown,d,14.0,b,65.0,1.0,19026.0,-5,-15,1,0,,"App - elcoco, App - yuka, Apps, App - El CoCo",Leche condensada desnatada sirve fácil,
fr,,,,nestle,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,en:spain,,,,100g,100g,,41.0,0.1,g,0.1,g,6.2,g,4.7,g,,,3.7,g,0.13,g,0.052,g,41.0,kcal,,,,,,,,,,,,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",,unknown,d,8.0,e,17.0,1.0,19508.0,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Sveltesse light,
es,,,,nestle,"en:baby-foods,en:cereals-for-babies",,en:spain,,,,100g,100g,,386.0,1.8,g,0.5,g,81.0,g,25.0,g,,,10.0,g,0.1,g,0.04,g,386.0,kcal,,,,,,,,,,,,,,,unknown,not-applicable,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Papilla de cereales Multicereales,
fr,,,,nestle,,,"en:france,en:spain",,,,100g,100g,,50.0,0.8,g,0.5,g,3.4,g,3.1,g,,,6.7,g,0.1,g,0.04,g,50.0,kcal,,,,,,,,,,,,,,,unknown,unknown,,unknown,,1.0,,-5,-15,1,0,,"App - yuka, Apps, App - elcoco, App - El CoCo",Kvarg drink,
